Order,Family,Genus,Species,Outcome_Binary,Outcome_Count,binom,AdultMass_g,SexMat_d,Gest_d,IBI_d,LitterSize,Litters_Yr,BirthWt_g,Wean_d,WeanWt_g,MaxLong_m
Carnivora,Felidae,Lynx,rufus,1,2,Lynx rufus,6374.47,668.22,59.99,365,2.76,0.9,300,59.99,1190,388
Primates,Cercopithecidae,Macaca,fascicularis,1,3,Macaca fascicularis,4569.32,1319.5,164.69,398.45,1,1,328.76,283.53,854.16,456
Primates,Cercopithecidae,Macaca,fuscata,1,1,Macaca fuscata,10114.76,1460.77,172.99,486.66,1.02,1,501.57,265.04,2250.7,396
Primates,Cercopithecidae,Macaca,mulatta,1,1,Macaca mulatta,6455.19,1101.07,166.07,385.5,1.01,1,471.47,304.16,1314.91,432
Primates,Cercopithecidae,Macaca,nemestrina,1,3,Macaca nemestrina,7820.78,1427.17,171,405.07,1.01,0.8,472.92,292.6,1367.39,411.6
Diprotodontia,Macropodidae,Macropus,agilis,1,1,Macropus agilis,11815.75,404.77,30.51,217,1.01,1.8,0.63,321.74,2286.7,144
Diprotodontia,Macropodidae,Macropus,fuliginosus,1,1,Macropus fuliginosus,25564.7,708.84,30.8,372.02,1,1,0.86,518.67,7778.17,240
Rodentia,Sciuridae,Marmota,monax,1,1,Marmota monax,3880.93,413.84,31.5,365,4.1,1,27.19,43.83,247.99,120
Rodentia,Muridae,Mastomys,natalensis,1,1,Mastomys natalensis,41.85,60.09,23.64,28,9.23,2,1.98,20,12.09,46.58183431
Carnivora,Mustelidae,Meles,meles,1,1,Meles meles,11884.03,420.91,48.6,365,3.11,1,90.24,91.3,1534.161993,194.4
Carnivora,Mephitidae,Mephitis,mephitis,1,2,Mephitis mephitis,2399.99,355.18,63.29,365,5.7,2,33.19,55.15,493.5,155
Rodentia,Muridae,Meriones,hurrianae,1,1,Meriones hurrianae,71.02,46.58,29.19,36.63792417,4.1,3.5,4.1,19.85,20.5,53.47041013
Rodentia,Muridae,Meriones,libycus,1,1,Meriones libycus,91.33,92.8,25.43,55.85995485,4.54,2.581706594,5.24,30.18,45,62.4
Rodentia,Muridae,Meriones,persicus,1,1,Meriones persicus,107.52,66.01680082,28,41.57526005,5.83,3.458835919,4.99,19,26.27045291,72
Rodentia,Muridae,Meriones,sacramenti,1,1,Meriones sacramenti,50,76.7932583,24.38343344,35.25809709,5.99,2.810568653,2.815291035,24.89789602,14.4406646,45.92711555
Rodentia,Muridae,Meriones,shawi,1,1,Meriones shawi,90.6,92.22,24.8,31.25,5.84,2.705434305,4.35,29.31,25,53.05544397
Rodentia,Muridae,Meriones,unguiculatus,1,1,Meriones unguiculatus,57.75,56.5,25.09,46,5.01,3,2.85,23.95,13.24,24
Rodentia,Cricetidae,Mesocricetus,auratus,1,1,Mesocricetus auratus,98.6,50.97,15.49,26.88565979,8.79,4,2.35,18.65,22.93,120
Rodentia,Cricetidae,Microtus,agrestis,1,1,Microtus agrestis,35.87,38.27,20.72,20.26,4.65,3.5,2.09,13.9,8.84,39.6
Rodentia,Cricetidae,Microtus,arvalis,1,1,Microtus arvalis,26.9,28.19,21,25.15,4.99,6,1.93,17.18,9.18,36
Rodentia,Cricetidae,Microtus,pennsylvanicus,1,1,Microtus pennsylvanicus,42.53,31.74,21.24,21.19,5.16,2.7,2.4,12.92,13.14,11
Rodentia,Muridae,Mus,musculus,1,7,Mus musculus,19.3,64.71,19.6,30,5.54,4.5,1.06,21.5,10,72
Carnivora,Mustelidae,Mustela,erminea,1,1,Mustela erminea,284.5,93.09,66.35,365,6.74,1,2.25,60.93,25.22,85.23
Carnivora,Mustelidae,Mustela,frenata,1,1,Mustela frenata,190.03,200.69,24.5,365,6.5,1,3.09,34.23,28.62,85.23
Rodentia,Cricetidae,Myodes,glareolus,1,6,Myodes glareolus,20.73,40.91,19.74,21.75,4.31,3.5,1.83,19.73,9.43,58.8
Rodentia,Cricetidae,Myodes,rex,1,1,Myodes rex,38,45.4963031,21.46559319,22.16801586,5.18958321,3.918183716,2.212825976,20.43798885,12.67846831,36.7755176
Rodentia,Cricetidae,Myodes,rufocanus,1,1,Myodes rufocanus,36.43,110,22.61873135,32.6,5.01,3,2.25,23.65997991,10,30.38632323
Rodentia,Cricetidae,Myodes,rutilus,1,1,Myodes rutilus,19.94,46.48734225,23.98,20.5,5.6,4.2,1.8,20.44007597,10.3427966,35.02015772
Chiroptera,Pteropodidae,Myonycteris,torquata,1,1,Myonycteris torquata,44.92,284.8404117,136.4194941,184.7568515,1,2,11,68.97376248,27.86770832,103.2996448
Carnivora,Procyonidae,Nasua,nasua,1,1,Nasua nasua,3775.5,841.82,75.06,365,3.69,1,144.91,113.15,730,212.4
Rodentia,Cricetidae,Necromys,lasiurus,1,2,Necromys lasiurus,39.93,39.06,21.97,20.45171562,4.5,3.418638998,3.57,18.82560739,17.74885776,36.19591711
Rodentia,Cricetidae,Nectomys,squamipes,1,1,Nectomys squamipes,184.98,56.2890625,20.80308313,26.74046326,4.5,2.963418124,5.370294374,19.77341873,31.09051594,40.46820781
Rodentia,Cricetidae,Neotoma,albigula,1,1,Neotoma albigula,208.18,94.14,37,49,2.14,2,11.21,33.5,103.3,92.4
Rodentia,Cricetidae,Neotoma,cinerea,1,1,Neotoma cinerea,285.89,525,29.69,30,3.45,1.5,14.4,26.35,93.36,36
Rodentia,Cricetidae,Neotoma,fuscipes,1,2,Neotoma fuscipes,213.26,182.52,33.21,70.93006636,2.79,1.75,13.15,27.49,48.73611003,42.78252375
Rodentia,Cricetidae,Neotoma,macrotis,1,1,Neotoma macrotis,225.74,99.69805754,35.3325185,43.6842764,1.919380952,2.738652334,11.51603603,24.98994703,46.64763141,49.84636966
Rodentia,Cricetidae,Neotoma,mexicana,1,1,Neotoma mexicana,203,59.82,33.21,38.9473111,2.59,2,10.4,22.96811283,40.13674617,46.46018554
Rodentia,Cricetidae,Neotoma,micropus,1,1,Neotoma micropus,255.14,172.7,34,68.45042199,2.5,2,11.7,29.83,35.6,27
Carnivora,Mustelidae,Neovison,vison,1,1,Neovison vison,925,352.5,42,365,4.5,1,8.5,49,110,136.8
Artiodactyla,Cervidae,Odocoileus,virginianus,1,7,Odocoileus virginianus,75901.25,365,201.39,304.16,1.57,1,2949.99,79.92,29985.81,276
Rodentia,Cricetidae,Oligoryzomys,flavescens,1,2,Oligoryzomys flavescens,21.3,36.99305434,22.92900982,24.16498771,4.95,3.937296189,2.001401811,18.08038837,10.26899045,33.84541068
Rodentia,Cricetidae,Oligoryzomys,fulvescens,1,1,Oligoryzomys fulvescens,25,47.54582505,23.94178314,25.86147242,3.64,3.168576475,2.164133855,17.98023939,11.32121118,32.94303496
Rodentia,Cricetidae,Oligoryzomys,longicaudatus,1,1,Oligoryzomys longicaudatus,27.54,27.72,23.03433537,24.68780712,4.77,3.11764295,2.392493605,18.77798029,10.97736343,33.56525925
Rodentia,Cricetidae,Oligoryzomys,nigripes,1,1,Oligoryzomys nigripes,20.33,47.39,25.232,25.53057226,3.59,3.396275891,3.3,14.44,12.85068415,36.16868667
Lagomorpha,Leporidae,Oryctolagus,cuniculus,1,3,Oryctolagus cuniculus,1590.57,185.61,30.45,29,5.24,4.5,39.11,26.3,211.06,216
Rodentia,Cricetidae,Oryzomys,palustris,1,1,Oryzomys palustris,53.26,49.92,24.74,26.42037098,4.08,5.5,3.49,11.44,21.99,28.5
Artiodactyla,Bovidae,Ovis,aries,1,18,Ovis aries,39097.89,831.62,152.54,365,1.19,1,2376.24,182.5,17500,230.04
Primates,Hominidae,Pan,troglodytes,1,1,Pan troglodytes,45000,3897.96,231.49,1825,1.05,0.2,1745.02,1260.81,8499.99,720
Carnivora,Felidae,Panthera,leo,1,1,Panthera leo,158623.93,987.77,108.74,730,2.75,2,1291.71,197.86,8480,360
Carnivora,Felidae,Panthera,onca,1,1,Panthera onca,83943.09,1184.16,102.49,365,1.96,0.5,817.3,156.6,5033.5,276
Rodentia,Cricetidae,Peromyscus,leucopus,1,6,Peromyscus leucopus,18.07,45.15,23.17,26.6,4.27,4.5,1.8,21.49,8.94,38
Rodentia,Cricetidae,Peromyscus,maniculatus,1,1,Peromyscus maniculatus,19.98,48.05,26.68,27.14,4.76,2.6,1.73,22.49,8.8,99.6
Artiodactyla,Suidae,Phacochoerus,aethiopicus,1,1,Phacochoerus aethiopicus,75607.52,631.12,165.4,365,3.2,1.5,691.95,106.45,9027.11969,225.6
Artiodactyla,Suidae,Phacochoerus,africanus,1,2,Phacochoerus africanus,82499.99,578,172.49,426,3,1.5,660,84,7999.551808,180
Chiroptera,Vespertilionidae,Pipistrellus,subflavus,1,1,Pipistrellus subflavus,5.74,245.53,45.71,365,1.96,1,1.26,31.21,4.58,180
Primates,Cercopithecidae,Presbytis,melalophos,1,2,Presbytis melalophos,6439.12,1369.844475,169.5398543,434.5631684,1.01,0.845709886,350.679488,251.5699626,1143.258302,192
Hyracoidea,Procaviidae,Procavia,capensis,1,1,Procavia capensis,2952.48,487.07,231.24,365,2.5,1,203.49,90.99,499.99,168
Carnivora,Procyonidae,Procyon,lotor,1,4,Procyon lotor,6373.72,561.28,65,365,3.06,1,82.46,104.16,1095.44,252
Rodentia,Echimyidae,Proechimys,chrysaeolus,1,1,Proechimys chrysaeolus,284.99,124.9811625,64.94328845,76.63617094,2.180969327,3.336991191,15.86433899,27.52299625,100.5868372,63.14624878
Rodentia,Echimyidae,Proechimys,semispinosus,1,1,Proechimys semispinosus,353.32,113.38,65.65,75.08425345,2.84,4.68,26.22,41.2,112.5626481,31
Rodentia,Muridae,Psammomys,obesus,1,1,Psammomys obesus,102.15,63.38,24.8,38.3,3.49,3.739852298,6.2,24.18,40,38.4
Chiroptera,Pteropodidae,Pteropus,alecto,1,3,Pteropus alecto,610.13,460.3494418,170.3838612,365,1,1,54.55812214,89.17,104.4824297,236.4
Chiroptera,Pteropodidae,Pteropus,conspicillatus,1,2,Pteropus conspicillatus,760.71,755.15,180,364.5438001,1,1,67.55641454,139.51,145.1863037,255.2942104
Chiroptera,Pteropodidae,Pteropus,giganteus,1,1,Pteropus giganteus,824.85,395.29,166.59,365,0.99,1,90.32,152.08,213.8481716,376.8
Chiroptera,Pteropodidae,Pteropus,hypomelanus,1,1,Pteropus hypomelanus,435.61,377.57,162.4499664,365,1,1,45.72409867,94.86,112.8638114,243.6
Chiroptera,Pteropodidae,Pteropus,lylei,1,1,Pteropus lylei,319.75,529.3511283,157.7773829,212.9412325,0.99509723,1.747802621,50.67338034,121.1590126,121.1084885,244.8
Chiroptera,Pteropodidae,Pteropus,poliocephalus,1,2,Pteropus poliocephalus,702.78,536.12,187.72,365,1,1,70,120,132.6498186,283.2
Chiroptera,Pteropodidae,Pteropus,scapulatus,1,2,Pteropus scapulatus,380.35,566.36,170.1796943,365,1,1,52.88646833,133.76,114.6781078,189.6
Chiroptera,Pteropodidae,Pteropus,vampyrus,1,1,Pteropus vampyrus,1027.54,530.0165554,172.6310745,365,0.99,1,64.78310064,104.69,134.7506996,250.8
Carnivora,Felidae,Puma,concolor,1,1,Puma concolor,53954.05,1034.61,92.3,577.91,2.76,0.75,409.87,48.46,3499.99,240
Carnivora,Felidae,Puma,yagouaroundi,1,1,Puma yagouaroundi,6875,1052.28,75.01,182.5,2.5,2,158.9169171,91.52267293,1089.689799,127.83
Rodentia,Muridae,Rattus,losea,1,1,Rattus losea,104.63,72.14709029,22.79709102,34.53125171,6.215405869,3.34138984,3.913494011,25.17118594,25.16781039,44.94192868
Rodentia,Muridae,Rattus,norvegicus,1,14,Rattus norvegicus,282.89,55.23,21.74,35,8.99,3.5,5.8,25.37,53.07,45.6
Rodentia,Muridae,Rattus,rattus,1,19,Rattus rattus,142.68,115.29,23.45,31.25,5.88,3.75,4.53,28,37.01,50.4
Chiroptera,Rhinolophidae,Rhinolophus,eloquens,1,1,Rhinolophus eloquens,19.15,557.1557995,99.03940781,188.9630296,1.013394992,1.761627447,3.750384899,54.19693718,13.48339244,164.1750862
Chiroptera,Rhinolophidae,Rhinolophus,sinicus,1,1,Rhinolophus sinicus,12,415.8805137,99.53353781,191.1384925,0.993109678,1.769829376,2.818562665,55.13226125,8.274548954,125.7281821
Rodentia,Muridae,Rhombomys,opimus,1,4,Rhombomys opimus,285,108.27,27.5,47.25652297,4.59,3.25,4.75,23.15,52.21534169,48
Chiroptera,Pteropodidae,Rousettus,aegyptiacus,1,1,Rousettus aegyptiacus,134,315.68,123.39,202.0731172,1.07,2,19.13,105,75.1,274.8
Artiodactyla,Bovidae,Rupicapra,rupicapra,1,1,Rupicapra rupicapra,33266.35,642.64,178.32,365,1,1,2250,76.04,13506.8429,264
Chiroptera,Emballonuridae,Saccolaimus,flaviventris,1,1,Saccolaimus flaviventris,45.25,290.9937964,99.48640041,171.5131689,0.998059539,2,6.167090429,53.28143557,17.40370613,90.62012263
Rodentia,Sciuridae,Sciurus,carolinensis,1,2,Sciurus carolinensis,545.4,337.88,44.79,126.0641843,2.98,2,15.17,69.47,200,288
Rodentia,Sciuridae,Sciurus,griseus,1,2,Sciurus griseus,703.85,330.37,43.49,365,2.65,1,15.18381248,61,197.765793,120
Rodentia,Sciuridae,Sciurus,niger,1,1,Sciurus niger,800,353,44,365,3,1,15,84,215.6776572,192
Rodentia,Sciuridae,Sciurus,vulgaris,1,1,Sciurus vulgaris,333,360.85,38,91.25,4.5,2,8.83,64.51,135.9607586,144
Rodentia,Cricetidae,Sigmodon,hispidus,1,3,Sigmodon hispidus,110.65,50.19,27,26.9511884,5.44,2,6.6,15.29,18.2,62.4
Soricomorpha,Soricidae,Sorex,araneus,1,1,Sorex araneus,9.18,312.9,21.5,44.56,6.56,2,0.42,21.43,8.36,24
Soricomorpha,Soricidae,Sorex,cinereus,1,1,Sorex cinereus,4.2,147.56,18.11,59.81287625,6.49,2.293956245,0.28,19.88,3.49,23
Carnivora,Canidae,Speothos,venaticus,1,1,Speothos venaticus,6324.54,344.87,67.78,247.94,3.8,2,157.5,127.3,901.2104809,124
Rodentia,Sciuridae,Spermophilus,beecheyi,1,1,Spermophilus beecheyi,597.82,365,28.37,365,6.71,1,9.29,52.6,66.18,60
Rodentia,Sciuridae,Spermophilus,lateralis,1,1,Spermophilus lateralis,175.1,420.91,28.42,365,5.18,1,6.09,41.99,85.36,84
Carnivora,Mephitidae,Spilogale,gracilis,1,1,Spilogale gracilis,445,293.8227862,48.07390303,214.4363396,3.737714096,1.808835354,13.84324937,53.80527427,173.9845833,114.8329767
Carnivora,Mephitidae,Spilogale,putorius,1,1,Spilogale putorius,566.49,196.96,32.99,243.33,5.07,1.5,12.29,55.68,160,120
Soricomorpha,Soricidae,Suncus,murinus,1,1,Suncus murinus,43.76,32.44,30.19,56.2,3.1,9.8,2.44,19.16,25.87,30
Artiodactyla,Suidae,Sus,scrofa,1,23,Sus scrofa,84471.54,350.76,115.2,230,4.52,1.5,807.77,97.88,6469.99,252
Lagomorpha,Leporidae,Sylvilagus,audubonii,1,1,Sylvilagus audubonii,880.88,90.7,28,41.58727255,3,5,34.36,24.5,150.0955782,93.6
Lagomorpha,Leporidae,Sylvilagus,bachmani,1,1,Sylvilagus bachmani,714.53,154,27,29.5,3.35,4.5,27.25,16.27,140.7054862,94.20395818
Lagomorpha,Leporidae,Sylvilagus,brasiliensis,1,1,Sylvilagus brasiliensis,986.74,99.18,42.5,46.58920979,1.9,4.7,40.32505362,26.3,185.7436944,100.0312336
Artiodactyla,Bovidae,Syncerus,caffer,1,5,Syncerus caffer,592665.98,1683.65,337.49,638.75,1.08,1,39843.11,319.37,151878.4,354
Pilosa,Myrmecophagidae,Tamandua,tetradactyla,1,1,Tamandua tetradactyla,4800,365,160,365,1,1,177.4532564,58.20468118,772.6017127,108
Rodentia,Sciuridae,Tamias,amoenus,1,2,Tamias amoenus,50.63,350.01,30.46,365,4.99,1,2.62,41.99,19,62
Rodentia,Sciuridae,Tamias,ochrogenys,1,1,Tamias ochrogenys,91.69,312.0273357,31.4155021,137.4580842,3.5,1.517960718,3.84284705,46.75050801,39.19508039,100.4553629
Rodentia,Sciuridae,Tamias,quadrimaculatus,1,1,Tamias quadrimaculatus,83.62,339,31.65,365,5.93,1,3.600392693,42.86743073,34.14699503,93.14822446
Rodentia,Sciuridae,Tamias,senex,1,2,Tamias senex,89.35,358.4606047,28.272,365,4.37,1,3.50670065,40.81316858,35.2124734,85.98473729
Rodentia,Sciuridae,Tamias,speciosus,1,1,Tamias speciosus,60.83,365.04,29.54964912,365,4.14,1,3.161275108,41.42848543,26.20333565,88.95720514
Rodentia,Sciuridae,Tamias,striatus,1,2,Tamias striatus,96,207.5,31,120.0821382,5,1.5,3.4,36,50.5,114
Rodentia,Sciuridae,Tamiasciurus,hudsonicus,1,1,Tamiasciurus hudsonicus,200.24,357.81,34.25,124.6764703,3.93,1.75,6.89,67.22,96.82,144
Artiodactyla,Bovidae,Taurotragus,oryx,1,1,Taurotragus oryx,562592.69,672.49,271,337,1,1.031351699,30889.05,128.68,96495.55,300
Primates,Cercopithecidae,Trachypithecus,cristatus,1,2,Trachypithecus cristatus,7176.81,1461,172.2653718,521.3635263,1.01,0.707934652,423.2886095,362.93,1663.077955,373.2
Primates,Cercopithecidae,Trachypithecus,obscurus,1,1,Trachypithecus obscurus,7247.88,1461,146.63,660.4833607,1.01,0.5,339.18,362.93,1486.355213,300
Artiodactyla,Bovidae,Tragelaphus,scriptus,1,1,Tragelaphus scriptus,43250.39,431.61,182.5,235.72,1,1.5,3027.79,104.1846911,9765.266692,156
Artiodactyla,Bovidae,Tragelaphus,strepsiceros,1,1,Tragelaphus strepsiceros,206056.41,665.38,220.94,365,1,1,15366.57,182.5,45260.52785,276
Diprotodontia,Phalangeridae,Trichosurus,vulpecula,1,2,Trichosurus vulpecula,2685.39,420.91,17.5,273.87,1.02,1.5,0.2,191.59,675.27,176.4
Carnivora,Ursidae,Ursus,americanus,1,2,Ursus americanus,110500,1448.45,213.95,821.25,2.39,0.4,293.99,167.99,14050,384
Carnivora,Ursidae,Ursus,arctos,1,1,Ursus arctos,196287.5,1327.95,227.56,912.5,2.24,0.4,499.99,182.5,26000,600
Carnivora,Canidae,Vulpes,lagopus,1,1,Vulpes lagopus,3584.37,293.89,52.99,365,7.65,1,69.17,49.5,679.633743,180
