,Host,populationTrend
294,Sciurocheirus gabonensis,Unknown
295,Euoticus elegantulus,Unknown
296,Paragalago rondoensis,Decreasing
297,Galagoides demidoff,Stable
298,Paragalago granti,Decreasing
299,Galagoides thomasi,Stable
300,Paragalago cocos,Decreasing
301,Galago gallarum,Stable
302,Galago moholi,Stable
303,Galago matschiei,Decreasing
304,Galago senegalensis,Decreasing
305,Otolemur crassicaudatus,Stable
306,Otolemur garnettii,Decreasing
307,Hylobates moloch,Decreasing
308,Hylobates pileatus,Decreasing
309,Hylobates albibarbis,Decreasing
310,Hylobates lar,Decreasing
311,Hylobates klossii,Decreasing
312,Hylobates agilis,Decreasing
313,Symphalangus syndactylus,Decreasing
314,Hoolock hoolock,Decreasing
315,Hoolock leuconedys,Decreasing
316,Nomascus concolor,Decreasing
317,Nomascus siki,Decreasing
318,Nomascus gabriellae,Decreasing
319,Nomascus hainanus,Stable
320,Nomascus nasutus,Decreasing
321,Arctocebus aureus,Unknown
322,Arctocebus calabarensis,Decreasing
323,Loris tardigradus,Decreasing
324,Loris lydekkerianus,Decreasing
325,Nycticebus menagensis,Decreasing
326,Nycticebus coucang,Decreasing
327,Nycticebus pygmaeus,Decreasing
328,Pithecia aequatorialis,Decreasing
329,Pithecia monachus,Decreasing
330,Callicebus coimbrai,Decreasing
331,Plecturocebus modestus,Decreasing
332,Plecturocebus caligatus,Unknown
333,Plecturocebus bernhardi,Stable
334,Cheracebus regulus,Unknown
335,Cheracebus medemi,Decreasing
336,Cheracebus purinus,Stable
337,Callicebus nigrifrons,Decreasing
338,Plecturocebus brunneus,Decreasing
339,Plecturocebus baptista,Stable
340,Plecturocebus ornatus,Decreasing
341,Callicebus melanochir,Decreasing
342,Plecturocebus dubius,Unknown
343,Plecturocebus oenanthe,Decreasing
344,Plecturocebus olallae,Decreasing
345,Chiropotes chiropotes,Stable
346,Chiropotes utahickae,Decreasing
347,Cephalopachus bancanus,Decreasing
348,Tarsius tumpara,Decreasing
349,Tarsius sangirensis,Decreasing
350,Tarsius pelengensis,Decreasing
351,Tarsius wallacei,Decreasing
352,Tarsius dentatus,Decreasing
353,Tarsius pumilus,Decreasing
354,Tarsius lariang,Decreasing
355,Tarsius tarsier,Decreasing
356,Carlito syrichta,Decreasing
357,Leontocebus nigrifrons,Stable
358,Leontocebus cruzlimai,Unknown
359,Leontocebus leucogenys,Unknown
360,Leontocebus lagonotus,Unknown
361,Leontocebus fuscus,Unknown
362,Leontocebus illigeri,Decreasing
363,Macaca ochreata,Decreasing
364,Macaca brunnescens,Decreasing
365,Presbytis mitrata,Decreasing
366,Presbytis bicolor,Unknown
367,Presbytis sumatranus,Decreasing
