,Host,populationTrend
2919,Nesoryzomys indefessus,
2920,Nesoryzomys fernandinae,Unknown
2921,Nesoryzomys swarthi,Unknown
2922,Nesoryzomys narboroughi,Decreasing
2923,Podoxymys roraimae,Unknown
2924,Cricetulus tibetanus,Unknown
2925,Cricetulus lama,Unknown
2926,Cricetulus kamensis,Unknown
2927,Anotomys leander,Decreasing
2928,Otomys barbouri,Decreasing
2929,Otomys tropicalis,Stable
2930,Otomys denti,Decreasing
2931,Otomys laminatus,Decreasing
2932,Otomys anchietae,Unknown
2933,Otomys dartmouthi,Unknown
2934,Sundamys muelleri,Decreasing
2935,Sundamys maxi,Decreasing
2936,Sundamys infraluteus,Unknown
2937,Pseudomys apodemoides,Stable
2938,Pseudomys occidentalis,Decreasing
2939,Pseudomys pilligaensis,Decreasing
2940,Pseudomys fieldi,Stable
2941,Pseudomys fumeus,Decreasing
2942,Pseudomys gouldii,
2943,Pseudomys novaehollandiae,Decreasing
2944,Pseudomys calabyi,Decreasing
2945,Pseudomys higginsi,Stable
2946,Pseudomys gracilicaudatus,Decreasing
2947,Pseudomys glaucus,
2948,Papagomys armandvillei,Decreasing
2949,Malacomys cansdalei,Unknown
2950,Uranomys ruddi,Decreasing
2951,Chrotomys whiteheadi,Stable
2952,Chrotomys silaceus,Unknown
2953,Chrotomys gonzalesi,Decreasing
2954,Chrotomys mindorensis,Unknown
2955,Notomys macrotis,
2956,Notomys mordax,
2957,Notomys alexis,Stable
2958,Notomys cervinus,Stable
2959,Notomys aquilo,Decreasing
2960,Notomys amplus,
2961,Notomys longicaudatus,
2962,Notomys fuscus,Unknown
2963,Hydromys hussoni,Unknown
2964,Rhabdomys pumilio,Stable
2965,Hapalomys longicaudatus,Decreasing
2966,Abeomelomys sevia,Unknown
2967,Mus baoulei,Stable
2968,Mus cervicolor,Stable
2969,Mus famulus,Unknown
2970,Mus callewaerti,Unknown
2971,Mus mattheyi,Stable
2972,Mus fernandoni,Unknown
2973,Mus haussa,Stable
2974,Mus musculoides,Unknown
2975,Mus neavei,Unknown
2976,Mus cypriacus,Unknown
2977,Mus fragilicauda,Unknown
2978,Mus sorella,Stable
2979,Mus platythrix,Stable
2980,Mus setulosus,Stable
2981,Hyomys goliath,Unknown
2982,Lophuromys woosnami,Unknown
2983,Lophuromys luteogaster,Unknown
2984,Lophuromys flavopunctatus,Unknown
2985,Lophuromys brevicaudus,Decreasing
2986,Lophuromys huttereri,Unknown
2987,Lophuromys roseveari,Unknown
2988,Lophuromys melanonyx,Unknown
2989,Lophuromys rahmi,Unknown
2990,Lophuromys medicaudatus,Decreasing
2991,Lophuromys eisentrauti,Decreasing
2992,Paramelomys levipes,Unknown
2993,Paramelomys steini,Unknown
2994,Paramelomys gressitti,Unknown
2995,Paramelomys naso,Unknown
2996,Paramelomys moncktoni,Unknown
2997,Paramelomys mollis,Stable
2998,Tokudaia muenninki,Decreasing
2999,Tokudaia osimensis,Decreasing
3000,Tokudaia tokunoshimensis,Decreasing
3001,Srilankamys ohiensis,Decreasing
3002,Baiyankamys habbema,Unknown
3003,Ammodillus imbellis,Stable
3004,Hadromys humei,Decreasing
3005,Hadromys yunnanensis,Unknown
3006,Pseudohydromys fuscus,Stable
3007,Pseudohydromys ellermani,Unknown
3008,Pseudohydromys germani,Unknown
3009,Tonkinomys daovantieni,Unknown
3010,Saxatilomys paulinae,Unknown
3011,Pachyuromys duprasi,Stable
3012,Heimyscus fumosus,Stable
3013,Oenomys ornatus,Unknown
3014,Tatera indica,Unknown
3015,Thamnomys kempi,Unknown
3016,Thamnomys venustus,Decreasing
3017,Chiropodomys major,Unknown
3018,Niviventer fraternus,Unknown
3019,Niviventer niviventer,Unknown
3020,Niviventer cremoriventer,Unknown
3021,Niviventer coninga,Unknown
3022,Niviventer lepturus,Stable
3023,Niviventer brahma,Stable
3024,Niviventer andersoni,Unknown
3025,Niviventer excelsior,Unknown
3026,Niviventer eha,Stable
3027,Niviventer culturatus,Unknown
3028,Niviventer tenaster,Unknown
3029,Crateromys schadenbergi,Decreasing
3030,Crateromys australis,Unknown
3031,Crateromys heaneyi,Decreasing
3032,Pelomys hopkinsi,Unknown
3033,Pelomys isseli,Unknown
3034,Coryphomys buehleri,
3035,Myomyscus yemeni,Unknown
3036,Taterillus petteri,Stable
3037,Taterillus pygargus,Stable
3038,Taterillus lacustris,Unknown
3039,Taterillus tranieri,Unknown
3040,Taterillus congicus,Unknown
3041,Cremnomys elvira,Decreasing
3042,Praomys rostratus,Unknown
3043,Praomys mutoni,Unknown
3044,Praomys misonnei,Stable
3045,Praomys minor,Unknown
3046,Praomys delectorum,Stable
3047,Praomys petteri,Stable
3048,Praomys verschureni,Unknown
3049,Praomys lukolelae,Unknown
3050,Paraleptomys rufilatus,Unknown
3051,Melomys frigicola,Unknown
3052,Melomys bougainville,Unknown
3053,Melomys capensis,Stable
3054,Melomys cervinipes,Stable
3055,Melomys fraterculus,Decreasing
3056,Melomys arcium,Unknown
3057,Melomys bannisteri,Decreasing
3058,Melomys leucogaster,Stable
3059,Melomys obiensis,Unknown
3060,Melomys matambuai,Decreasing
3061,Melomys dollmani,Stable
3062,Sommeromys macrorhinos,Unknown
3063,Apodemus gurkha,Stable
3064,Apodemus speciosus,Stable
3065,Apodemus semotus,Unknown
3066,Apodemus rusiges,Unknown
3067,Mastomys coucha,Stable
3068,Mastomys shortridgei,Stable
3069,Mastomys awashensis,Unknown
3070,Mastomys kollmannspergeri,Stable
3071,Mastomys pernanus,Unknown
3072,Mastomys huberti,Increasing
3073,Gerbilliscus validus,Stable
3074,Gerbilliscus phillipsi,Unknown
3075,Gerbilliscus nigricaudus,Stable
3076,Gerbilliscus kempi,Unknown
3077,Gerbilliscus guineae,Stable
3078,Gerbilliscus gambiana,Stable
3079,Gerbilliscus afra,Unknown
3080,Berylmys mackenziei,Unknown
3081,Berylmys manipulus,Unknown
3082,Taeromys taerae,Unknown
3083,Taeromys callitrichus,Unknown
3084,Taeromys celebensis,Decreasing
3085,Taeromys hamatus,Unknown
3086,Taeromys punicans,Unknown
3087,Taeromys arcuatus,Unknown
3088,Taeromys microbullatus,Unknown
3089,Stenocephalemys albocaudata,Stable
3090,Stenocephalemys albipes,Stable
3091,Melasmothrix naso,Unknown
3092,Limnomys bryophilus,Stable
3093,Limnomys sibuanus,Stable
3094,Mastacomys fuscus,Decreasing
3095,Diomys crumpi,Unknown
3096,Xenuromys barbatus,Unknown
3097,Solomys sapientis,Decreasing
3098,Solomys salamonis,Unknown
3099,Kadarsanomys sodyi,Unknown
3100,Leptomys signatus,Unknown
3101,Leptomys ernstmayri,Unknown
3102,Vandeleuria nolthenii,Decreasing
3103,Vandeleuria oleracea,Stable
3104,Pogonomys fergussoniensis,Decreasing
3105,Apomys hylocetes,Stable
3106,Apomys datae,Unknown
3107,Apomys musculus,Stable
3108,Apomys sacobianus,Unknown
3109,Apomys abrae,Unknown
3110,Apomys microdon,Unknown
3111,Apomys camiguinensis,Unknown
3112,Mammelomys lanosus,Unknown
3113,Meriones zarudnyi,Unknown
3114,Meriones persicus,Unknown
3115,Meriones crassus,Unknown
3116,Meriones chengi,Unknown
3117,Leopoldamys sabanus,Stable
3118,Leopoldamys neilli,Unknown
3119,Leopoldamys milleti,Stable
3120,Leopoldamys siporanus,Decreasing
3121,Leopoldamys ciliatus,Decreasing
3122,Hybomys badius,Decreasing
3123,Hybomys planifrons,Stable
3124,Lenomys meyeri,Decreasing
3125,Thallomys shortridgei,Unknown
3126,Bullimus luzonicus,Unknown
3127,Bullimus bagobus,Stable
3128,Bullimus gamay,Decreasing
3129,Dasymys foxi,Unknown
3130,Dasymys nudipes,Unknown
3131,Grammomys aridulus,Unknown
3132,Grammomys buntingi,Unknown
3133,Grammomys dryas,Decreasing
3134,Rhynchomys isarogensis,Stable
3135,Rhynchomys soricoides,Decreasing
3136,Lemniscomys mittendorfi,Stable
3137,Lemniscomys linulus,Unknown
3138,Lemniscomys bellieri,Stable
3139,Tryphomys adustus,Unknown
3140,Rattus koopmani,Unknown
3141,Rattus jobiensis,Unknown
3142,Rattus pococki,Unknown
3143,Rattus richardsoni,Decreasing
3144,Rattus korinchi,Unknown
3145,Rattus macleari,
3146,Rattus feliceus,Decreasing
3147,Rattus hoffmanni,Stable
3148,Rattus novaeguineae,Unknown
3149,Rattus osgoodi,Stable
3150,Rattus marmosurus,Decreasing
3151,Rattus omichlodes,Unknown
3152,Rattus mindorensis,Unknown
3153,Rattus mollicomulus,Stable
3154,Rattus montanus,Unknown
3155,Rattus mordax,Stable
3156,Rattus morotaiensis,Unknown
3157,Rattus nativitatis,
3158,Rattus baluensis,Stable
3159,Rattus annandalei,Decreasing
3160,Rattus elaphinus,Decreasing
3161,Rattus burrus,Decreasing
3162,Rattus colletti,Unknown
3163,Rattus adustus,Decreasing
3164,Rattus giluwensis,Unknown
3165,Rattus arrogans,Stable
3166,Rattus tiomanicus,Increasing
3167,Rattus timorensis,Unknown
3168,Rattus steini,Stable
3169,Rattus blangorum,Unknown
3170,Rattus salocco,Unknown
3171,Uromys porculus,Unknown
3172,Uromys rex,Decreasing
3173,Uromys caudimaculatus,Stable
3174,Uromys hadrourus,Stable
3175,Uromys imperator,Unknown
3176,Uromys neobritannicus,Decreasing
3177,Uromys anak,Unknown
3178,Uromys emmae,Unknown
3179,Nesoromys ceramicus,Decreasing
3180,Chiruromys forbesi,Stable
3181,Chiruromys lamia,Unknown
3182,Chiruromys vates,Stable
3183,Crunomys melanius,Unknown
3184,Crunomys celebensis,Decreasing
3185,Mesembriomys macrurus,Decreasing
3186,Mesembriomys gouldii,Decreasing
3187,Vernaya fulva,Unknown
3188,Pogonomelomys bruijnii,Decreasing
3189,Pogonomelomys brassi,Unknown
3190,Pogonomelomys mayeri,Unknown
3191,Batomys salomonseni,Stable
3192,Batomys russatus,Decreasing
3193,Haeromys pusillus,Decreasing
3194,Soricomys musseri,Unknown
3195,Soricomys kalinga,Unknown
3196,Archboldomys luzonensis,Stable
3197,Conilurus albipes,
3198,Conilurus penicillatus,Decreasing
3199,Microdillus peeli,Unknown
3200,Hylomyscus grandis,Decreasing
3201,Hylomyscus aeta,Stable
3202,Bunomys chrysocomus,Stable
3203,Bunomys andrewsi,Unknown
3204,Bunomys coelestis,Decreasing
3205,Bunomys fratrorum,Decreasing
3206,Bunomys penitus,Unknown
3207,Acomys russatus,Unknown
3208,Acomys airensis,Stable
3209,Acomys cilicicus,Unknown
3210,Acomys ignitus,Stable
3211,Acomys mullah,Unknown
3212,Phloeomys pallidus,Stable
3213,Phloeomys cumingi,Decreasing
3214,Muriculus imberbis,Decreasing
3215,Xeromys myoides,Decreasing
3216,Mallomys gunung,Decreasing
3217,Mallomys rothschildi,Stable
3218,Stochomys longicaudatus,Unknown
3219,Maxomys whiteheadi,Decreasing
3220,Maxomys surifer,Decreasing
3221,Maxomys panglima,Stable
3222,Maxomys rajah,Decreasing
3223,Maxomys ochraceiventer,Unknown
3224,Maxomys moi,Decreasing
3225,Maxomys musschenbroekii,Stable
3226,Maxomys inas,Stable
3227,Maxomys alticola,Stable
3228,Maxomys baeodon,Unknown
3229,Maxomys bartelsii,Stable
3230,Dephomys defua,Unknown
3231,Zyzomys pedunculatus,Decreasing
3232,Zyzomys argurus,Stable
3233,Zyzomys maini,Decreasing
3234,Zyzomys palatalis,Unknown
3235,Zyzomys woodwardi,Stable
3236,Leporillus apicalis,
3237,Leporillus conditor,Stable
3238,Aethomys silindensis,Unknown
3239,Aethomys stannarius,Unknown
3240,Macruromys elegans,Unknown
3241,Macruromys major,Stable
3242,Margaretamys parvus,Unknown
3243,Margaretamys beccarii,Decreasing
3244,Margaretamys elegans,Decreasing
3245,Microhydromys richardsoni,Unknown
3246,Pseudohydromys musseri,Unknown
3247,Leggadina lakedownensis,Decreasing
3248,Tarsomys apoensis,Stable
3249,Tarsomys echinatus,Decreasing
3250,Protochromys fellowsi,Unknown
3251,Diplothrix legata,Decreasing
3252,Mylomys rex,Unknown
3253,Parahydromys asper,Unknown
3254,Arvicanthis ansorgei,Unknown
3255,Arvicanthis rufinus,Unknown
3256,Arvicanthis nairobae,Stable
3257,Arvicanthis abyssinicus,Stable
3258,Gerbillurus tytonis,Stable
3259,Gerbillurus setzeri,Stable
3260,Millardia kondana,Decreasing
3261,Millardia kathleenae,Stable
3262,Carpomys phaeurus,Unknown
3263,Gerbillus watersi,Unknown
3264,Gerbillus tarabuli,Stable
3265,Gerbillus pyramidum,Stable
3266,Gerbillus somalicus,Unknown
3267,Gerbillus stigmonyx,Unknown
3268,Gerbillus poecilops,Unknown
3269,Gerbillus principulus,Unknown
3270,Gerbillus pulvinatus,Unknown
3271,Gerbillus pusillus,Unknown
3272,Gerbillus latastei,Unknown
3273,Gerbillus juliani,Stable
3274,Gerbillus lowei,Unknown
3275,Gerbillus gleadowi,Decreasing
3276,Gerbillus famulus,Unknown
3277,Gerbillus burtoni,Unknown
3278,Gerbillus bottai,Unknown
3279,Gerbillus brockmani,Unknown
3280,Gerbillus andersoni,Unknown
3281,Gerbillus amoenus,Unknown
3282,Gerbillus agag,Unknown
3283,Gerbillus rosalinda,Unknown
3284,Gerbillus nancillus,Unknown
3285,Gerbillus muriculus,Unknown
3286,Gerbillus campestris,Unknown
3287,Gerbillus acticola,Unknown
3288,Gerbillus rupicola,Unknown
3289,Tateomys rhinogradoides,Stable
3290,Tateomys macrocercus,Unknown
3291,Echiothrix leucura,Decreasing
3292,Dacnomys millardi,Unknown
3293,Hydrodamalis gigas,
3294,Trichechus inunguis,Decreasing
3295,Tayassu pecari,Decreasing
3296,Porcula salvania,Unknown
3297,Sus verrucosus,Decreasing
3298,Sus cebifrons,Decreasing
3299,Sus philippensis,Decreasing
3300,Sus ahoenobarbus,Decreasing
3301,Sus bucculentus,
3302,Potamochoerus larvatus,Stable
3303,Sus celebensis,Decreasing
3304,Sus scrofa,Unknown
3305,Sus oliveri,Decreasing
3306,Babyrousa celebensis,Decreasing
3307,Babyrousa togeanensis,Decreasing
3308,Cephalorhynchus hectori,Decreasing
3309,Bison bonasus,Increasing
3310,Equus africanus,Decreasing
3311,Equus kiang,Stable
3312,Equus quagga,Decreasing
3313,Tapirus bairdii,Decreasing
3314,Tapirus indicus,Decreasing
3315,Tapirus pinchaque,Decreasing
3316,Tapirus terrestris,Decreasing
3317,Brachylagus idahoensis,Unknown
3318,Bunolagus monticularis,Decreasing
3319,Caprolagus hispidus,Decreasing
3320,Lepus flavigularis,Decreasing
3321,Lepus timidus,Stable
3322,Lepus callotis,Decreasing
3323,Lepus hainanus,Decreasing
3324,Lepus insularis,Stable
3325,Lepus othus,Unknown
3326,Lepus fagani,Unknown
3327,Nesolagus netscheri,Unknown
3328,Ochotona koslowi,Decreasing
3329,Ochotona forresti,Unknown
3330,Ochotona iliensis,Decreasing
3331,Ochotona nubrica,Unknown
3332,Ochotona pusilla,Decreasing
3333,Ochotona thomasi,Unknown
3334,Pentalagus furnessi,Decreasing
3335,Romerolagus diazi,Decreasing
3336,Sylvilagus graysoni,Decreasing
3337,Sylvilagus insonus,Unknown
3338,Sylvilagus dicei,Decreasing
3339,Sylvilagus cunicularius,Decreasing
3340,Sylvilagus transitionalis,Decreasing
3341,Ochotona hoffmanni,Unknown
3342,Nesolagus timminsi,Decreasing
3343,Ochotona alpina,Stable
3344,Ochotona cansus,Unknown
3345,Ochotona collaris,Unknown
3346,Ochotona dauurica,Unknown
3347,Ochotona erythrotis,Unknown
3348,Ochotona gloveri,Unknown
3349,Ochotona hyperborea,Stable
3350,Ochotona ladacensis,Unknown
3351,Ochotona macrotis,Unknown
3352,Ochotona pallasii,Stable
3353,Ochotona princeps,Decreasing
3354,Ochotona roylei,Stable
3355,Ochotona rufescens,Stable
3356,Ochotona rutila,Stable
3357,Ochotona thibetana,Unknown
3358,Lepus alleni,Unknown
3359,Lepus americanus,Stable
3360,Lepus arcticus,Unknown
3361,Lepus brachyurus,Stable
3362,Lepus californicus,Decreasing
3363,Lepus capensis,Decreasing
3364,Lepus comus,Decreasing
3365,Lepus europaeus,Decreasing
3366,Lepus mandshuricus,Unknown
3367,Lepus nigricollis,Unknown
3368,Lepus oiostolus,Unknown
3369,Lepus peguensis,Stable
3370,Lepus saxatilis,Decreasing
3371,Lepus sinensis,Unknown
3372,Lepus starcki,Unknown
3373,Lepus townsendii,Decreasing
3374,Lepus habessinicus,Unknown
3375,Poelagus marjorita,Decreasing
3376,Pronolagus crassicaudatus,Decreasing
3377,Pronolagus randensis,Decreasing
3378,Pronolagus rupestris,Unknown
3379,Sylvilagus aquaticus,Decreasing
3380,Sylvilagus audubonii,Decreasing
3381,Sylvilagus brasiliensis,Decreasing
3382,Sylvilagus floridanus,Unknown
3383,Sylvilagus nuttallii,Decreasing
3384,Sylvilagus obscurus,Decreasing
3385,Sylvilagus bachmani,Stable
3386,Sylvilagus palustris,Unknown
3387,Lepus tibetanus,Unknown
3388,Lepus tolai,Unknown
3389,Sylvilagus varynaensis,Unknown
3390,Ochotona turuchanensis,Unknown
3391,Lepus victoriae,Stable
3392,Ochotona argentata,Decreasing
3393,Pronolagus saundersiae,Unknown
3394,Crocuta crocuta,Decreasing
3395,Hyaena hyaena,Decreasing
3396,Proteles cristata,Stable
3397,Bassaricyon gabbii,Decreasing
3398,Bdeogale jacksoni,Decreasing
3399,Chrotogale owstoni,Decreasing
3400,Cryptoprocta ferox,Decreasing
3401,Cynogale bennettii,Decreasing
3402,Diplogale hosei,Decreasing
3403,Fossa fossana,Decreasing
3404,Galidictis fasciata,Decreasing
3405,Galidictis grandidieri,Decreasing
3406,Genetta abyssinica,Unknown
3407,Genetta johnstoni,Decreasing
3408,Genetta cristata,Decreasing
3409,Gulo gulo,Decreasing
3410,Liberiictis kuhni,Decreasing
3411,Macrogalidia musschenbroekii,Decreasing
3412,Martes martes,Stable
3413,Melogale everetti,Decreasing
3414,Mungos gambianus,Stable
3415,Mungotictis decemlineata,Decreasing
3416,Mustela lutreola,Decreasing
3417,Mustela lutreolina,Stable
3418,Mustela nigripes,Decreasing
3419,Mustela africana,Unknown
3420,Mustela felipei,Decreasing
3421,Mustela strigidorsa,Stable
3422,Mydaus marchei,Stable
3423,Nasuella olivacea,Decreasing
3424,Genetta piscivora,Decreasing
3425,Paradoxurus jerdoni,Stable
3426,Procyon pygmaeus,Decreasing
3427,Salanoia concolor,Decreasing
3428,Viverra civettina,Decreasing
3429,Martes foina,Stable
3430,Meles meles,Stable
3431,Mustela erminea,Stable
3432,Mustela eversmanii,Decreasing
3433,Vormela peregusna,Decreasing
3434,Galidia elegans,Decreasing
3435,Eupleres major,Decreasing
3436,Neovison macrodon,
3437,Eupleres goudotii,Decreasing
3438,Nandinia binotata,Unknown
3439,Atilax paludinosus,Decreasing
3440,Bdeogale nigripes,Decreasing
3441,Crossarchus alexandri,Decreasing
3442,Crossarchus ansorgei,Decreasing
3443,Crossarchus obscurus,Unknown
3444,Crossarchus platycephalus,Unknown
3445,Cynictis penicillata,Stable
3446,Dologale dybowskii,Unknown
3447,Herpestes flavescens,Unknown
3448,Herpestes pulverulentus,Stable
3449,Herpestes sanguineus,Stable
3450,Helogale hirtula,Unknown
3451,Helogale parvula,Stable
3452,Herpestes brachyurus,Decreasing
3453,Herpestes edwardsii,Stable
3454,Herpestes fuscus,Stable
3455,Herpestes ichneumon,Stable
3456,Herpestes javanicus,Unknown
3457,Herpestes naso,Decreasing
3458,Herpestes semitorquatus,Decreasing
3459,Herpestes smithii,Unknown
3460,Herpestes vitticollis,Stable
3461,Ichneumia albicauda,Stable
3462,Mungos mungo,Stable
3463,Paracynictis selousi,Unknown
3464,Rhynchogale melleri,Unknown
3465,Suricata suricatta,Stable
3466,Arctonyx collaris,Decreasing
3467,Melogale moschata,Stable
3468,Melogale personata,Unknown
3469,Mydaus javanensis,Stable
3470,Mellivora capensis,Decreasing
3471,Conepatus chinga,Decreasing
3472,Conepatus humboldtii,Stable
3473,Conepatus leuconotus,Decreasing
3474,Conepatus semistriatus,Unknown
3475,Mephitis macroura,Increasing
3476,Mephitis mephitis,Stable
3477,Spilogale putorius,Decreasing
3478,Spilogale pygmaea,Decreasing
3479,Galictis cuja,Unknown
3480,Galictis vittata,Stable
3481,Eira barbara,Decreasing
3482,Ictonyx libycus,Unknown
3483,Ictonyx striatus,Stable
3484,Lyncodon patagonicus,Unknown
3485,Martes americana,Decreasing
3486,Martes flavigula,Decreasing
3487,Martes melampus,Stable
3488,Martes zibellina,Increasing
3489,Mustela altaica,Decreasing
3490,Mustela frenata,Stable
3491,Mustela kathiah,Stable
3492,Mustela itatsi,Decreasing
3493,Mustela nudipes,Decreasing
3494,Mustela putorius,Decreasing
3495,Mustela sibirica,Stable
3496,Neovison vison,Stable
3497,Poecilogale albinucha,Unknown
3498,Taxidea taxus,Decreasing
3499,Bassaricyon alleni,Decreasing
3500,Potos flavus,Decreasing
3501,Bassariscus astutus,Unknown
3502,Nasua narica,Decreasing
3503,Nasua nasua,Decreasing
3504,Procyon cancrivorus,Decreasing
3505,Procyon lotor,Increasing
3506,Hemigalus derbyanus,Decreasing
3507,Arctictis binturong,Decreasing
3508,Arctogalidia trivirgata,Decreasing
3509,Paguma larvata,Decreasing
3510,Paradoxurus hermaphroditus,Decreasing
3511,Paradoxurus zeylonensis,Unknown
3512,Genetta angolensis,Unknown
3513,Melogale orientalis,Unknown
3514,Genetta genetta,Stable
3515,Genetta maculata,Unknown
3516,Genetta thierryi,Unknown
3517,Genetta tigrina,Stable
3518,Genetta victoriae,Unknown
3519,Poiana richardsonii,Unknown
3520,Prionodon linsang,Decreasing
3521,Prionodon pardicolor,Decreasing
3522,Viverra megaspila,Decreasing
3523,Viverra tangalunga,Stable
3524,Viverra zibetha,Decreasing
3525,Viverricula indica,Stable
3526,Poiana leightoni,Decreasing
3527,Genetta bourloni,Decreasing
3528,Meles anakuma,Decreasing
3529,Meles leucurus,Unknown
3530,Genetta poensis,Unknown
3531,Genetta pardina,Unknown
3532,Cryptoprocta spelea,
3533,Spilogale angustifrons,Stable
3534,Bdeogale omnivora,Decreasing
3535,Spilogale gracilis,Decreasing
3536,Arctocephalus australis,Increasing
3537,Arctocephalus galapagoensis,Decreasing
3538,Arctocephalus pusillus,Increasing
3539,Arctocephalus townsendi,Increasing
3540,Arctocephalus tropicalis,Stable
3541,Callorhinus ursinus,Decreasing
3542,Cystophora cristata,Unknown
3543,Erignathus barbatus,Unknown
3544,Eumetopias jubatus,Increasing
3545,Halichoerus grypus,Increasing
3546,Hydrurga leptonyx,Unknown
3547,Leptonychotes weddellii,Unknown
3548,Lobodon carcinophaga,Unknown
3549,Mirounga angustirostris,Increasing
3550,Mirounga leonina,Stable
3551,Neomonachus schauinslandi,Decreasing
3552,Neomonachus tropicalis,
3553,Neophoca cinerea,Decreasing
3554,Odobenus rosmarus,Unknown
3555,Ommatophoca rossii,Unknown
3556,Phoca vitulina,Unknown
3557,Phoca largha,Unknown
3558,Arctocephalus forsteri,Increasing
3559,Zalophus californianus,Increasing
3560,Zalophus wollebaeki,Decreasing
3561,Pusa caspica,Unknown
3562,Histriophoca fasciata,Unknown
3563,Pagophilus groenlandicus,Increasing
3564,Pusa hispida,Unknown
3565,Pusa sibirica,Stable
3566,Macroscelides proboscideus,Stable
3567,Macroscelides flavicaudatus,Stable
3568,Macroscelides micus,Unknown
3569,Ceratotherium simum,Decreasing
3570,Elephas maximus,Decreasing
3571,Apodemus avicennicus,Unknown
3572,Apomys aurorae,Increasing
3573,Apomys banahao,Stable
3574,Apomys brownorum,Unknown
3575,Apomys minganensis,Stable
3576,Apomys sierrae,Stable
3577,Apomys zambalensis,Stable
3578,Archboldomys maximus,Stable
3579,Crocidura phanluongi,Unknown
3580,Crocidura phuquocensis,Unknown
3581,Crocidura sokolovi,Unknown
3582,Crocidura zaitsevi,Unknown
3583,Cryptotis aroensis,Unknown
3584,Myosorex bururiensis,Stable
3585,Myosorex gnoskei,Stable
3586,Suncus hututsi,Unknown
3587,Surdisorex schlitteri,Unknown
3588,Sylvisorex akaibei,Unknown
3589,Sylvisorex silvanorum,Unknown
3590,Euroscaptor subanura,Stable
3591,Grammomys selousi,Unknown
3592,Hylomyscus pamfi,Unknown
3593,Leopoldamys diwangkarai,Unknown
3594,Notomys robustus,
3595,Pseudohydromys berniceae,Unknown
3596,Pseudohydromys patriciae,Unknown
3597,Pseudohydromys sandrae,Unknown
3598,Rattus nikenii,Unknown
3599,Ctenomys ibicuiensis,Unknown
3600,Jaculus thaleri,Unknown
3601,Dendromus lachaisei,Unknown
3602,Dendromus ruppi,Unknown
3603,Petaurista mechukaensis,Unknown
3604,Petaurista mishmiensis,Unknown
3605,Neodon linzhiensis,Unknown
3606,Oxymycterus wayku,Unknown
3607,Phyllotis alisosiensis,Unknown
3608,Reithrodontomys musseri,Unknown
3609,Canis mesomelas,Stable
3610,Otocyon megalotis,Stable
3611,Vulpes chama,Stable
3612,Vulpes zerda,Stable
3613,Urocyon cinereoargenteus,Stable
3614,Vulpes ferrilata,Unknown
3615,Vulpes rueppellii,Stable
3616,Drymoreomys albimaculatus,Unknown
3617,Paucidentomys vermidax,Unknown
3618,Pseudoberylmys muongbangensis,Unknown
3619,Soricomys leonardocoi,Stable
3620,Microcebus marohita,Decreasing
3621,Canis adustus,Stable
3622,Bos javanicus,Decreasing
3623,Bos sauveli,Decreasing
3624,Bos gaurus,Decreasing
3625,Bubalus depressicornis,Decreasing
3626,Bubalus quarlesi,Decreasing
3627,Bubalus arnee,Decreasing
3628,Thomasomys andersoni,Unknown
3629,Bradypus torquatus,Decreasing
3630,Bradypus tridactylus,Unknown
3631,Bradypus variegatus,Unknown
3632,Cabassous centralis,Unknown
3633,Cabassous chacoensis,Unknown
3634,Cabassous tatouay,Unknown
3635,Cabassous unicinctus,Unknown
3636,Chaetophractus villosus,Stable
3637,Calyptophractus retusus,Unknown
3638,Chlamyphorus truncatus,Unknown
3639,Choloepus didactylus,Unknown
3640,Choloepus hoffmanni,Unknown
3641,Cyclopes didactylus,Unknown
3642,Dasypus hybridus,Decreasing
3643,Dasypus kappleri,Unknown
3644,Dasypus novemcinctus,Stable
3645,Dasypus pilosus,Unknown
3646,Dasypus sabanicola,Decreasing
3647,Dasypus septemcinctus,Unknown
3648,Euphractus sexcinctus,Stable
3649,Myrmecophaga tridactyla,Decreasing
3650,Priodontes maximus,Decreasing
3651,Tamandua mexicana,Unknown
3652,Tamandua tetradactyla,Unknown
3653,Tolypeutes matacus,Decreasing
3654,Tolypeutes tricinctus,Decreasing
3655,Zaedyus pichiy,Decreasing
3656,Dasypus yepesi,Unknown
3657,Bradypus pygmaeus,Decreasing
3658,Abrawayaomys chebezi,Unknown
3659,Allactaga toussi,Unknown
3660,Phyllomys sulinus,Unknown
3661,Heteromys catopterius,Unknown
3662,Acomys selousi,Unknown
3663,Acomys muzei,Unknown
3664,Acomys ngurui,Unknown
3665,Soricomys montanus,Stable
3666,Hylomyscus anselli,Unknown
3667,Hylomyscus arcimontensis,Unknown
3668,Hylomyscus walterverheyeni,Unknown
3669,Leptomys arfakensis,Unknown
3670,Leptomys paulus,Unknown
3671,Lophuromys simensis,Unknown
3672,Lophuromys menageshae,Unknown
3673,Lophuromys pseudosikapusi,Unknown
3674,Lophuromys stanleyi,Unknown
3675,Lophuromys machangui,Unknown
3676,Lophuromys sabunii,Unknown
3677,Lophuromys makundii,Unknown
3678,Lophuromys kilonzoi,Unknown
3679,Microhydromys argenteus,Unknown
3680,Praomys coetzeei,Unknown
3681,Pseudohydromys pumehanae,Unknown
3682,Pseudohydromys carlae,Unknown
3683,Vulpes cana,Stable
3684,Pseudohydromys eleanorae,Unknown
3685,Mirzamys norahae,Unknown
3686,Mirzamys louiseae,Unknown
