Host,redlistCategory,NVirion,NZoon,Nvirion,Nzoon
histiotus laephotis,Least Concern,0,0,0,0
histiotus macrotus,Least Concern,0.30103,0.30103,1.00000002,1.00000002
histiotus magellanicus,Least Concern,0,0,0,0
histiotus montanus,Least Concern,0.30103,0.30103,1.00000002,1.00000002
histriophoca fasciata,Least Concern,0.60206,0,3.00000008,0
hodomys alleni,Least Concern,0,0,0,0
holochilus brasiliensis,Least Concern,0,0,0,0
holochilus chacarius,Least Concern,0,0,0,0
holochilus sciureus,Least Concern,0,0,0,0
hoplomys gymnurus,Least Concern,0.30103,0.30103,1.00000002,1.00000002
hybomys planifrons,Least Concern,0,0,0,0
hybomys trivirgatus,Least Concern,0,0,0,0
hybomys univittatus,Least Concern,0.30103,0.30103,1.00000002,1.00000002
hydrochoerus hydrochaeris,Least Concern,0.60206,0.60206,3.00000008,3.00000008
hydromys chrysogaster,Least Concern,0.60206,0.60206,3.00000008,3.00000008
hydrurga leptonyx,Least Concern,0.30103,0,1.00000002,0
hyemoschus aquaticus,Least Concern,0,0,0,0
hyladelphys kalinowskii,Least Concern,0,0,0,0
hylaeamys megacephalus,Least Concern,1.079181,1.041393,10.9999932,10.00000797
hylaeamys perenensis,Least Concern,0,0,0,0
hylaeamys yunganus,Least Concern,0,0,0,0
hylochoerus meinertzhageni,Least Concern,0.30103,0,1.00000002,0
hylomys suillus,Least Concern,0,0,0,0
hylomyscus aeta,Least Concern,0,0,0,0
hylomyscus alleni,Least Concern,0.30103,0.30103,1.00000002,1.00000002
hylomyscus anselli,Least Concern,0,0,0,0
hylomyscus arcimontensis,Least Concern,0,0,0,0
hylomyscus carillus,Least Concern,0,0,0,0
hylomyscus denniae,Least Concern,0,0,0,0
hylomyscus endorobae,Least Concern,0.30103,0.30103,1.00000002,1.00000002
hylomyscus kerbispeterhansi,Least Concern,0,0,0,0
hylomyscus parvus,Least Concern,0,0,0,0
hylomyscus stella,Least Concern,0,0,0,0
hylomyscus vulcanorum,Least Concern,0,0,0,0
hylomyscus walterverheyeni,Least Concern,0,0,0,0
hylonycteris underwoodi,Least Concern,0,0,0,0
hylopetes alboniger,Least Concern,0,0,0,0
hylopetes phayrei,Least Concern,0,0,0,0
hylopetes spadiceus,Least Concern,0,0,0,0
hyomys goliath,Least Concern,0,0,0,0
hyosciurus heinrichi,Least Concern,0,0,0,0
hyperacrius wynnei,Least Concern,0,0,0,0
hyperoodon planifrons,Least Concern,0,0,0,0
hypsignathus monstrosus,Least Concern,0.84509804,0.84509804,6,6
hypsiprymnodon moschatus,Least Concern,0,0,0,0
hypsugo affinis,Least Concern,0,0,0,0
hypsugo alaschanicus,Least Concern,0,0,0,0
hypsugo bemainty,Least Concern,0,0,0,0
hypsugo cadornae,Least Concern,0,0,0,0
hypsugo pulveratus,Least Concern,0.30103,0.30103,1.00000002,1.00000002
hypsugo savii,Least Concern,0.4771213,0.4771213,2.000000313,2.000000313
hystrix africaeaustralis,Least Concern,0.30103,0.30103,1.00000002,1.00000002
hystrix brachyura,Least Concern,0.60206,0.30103,3.00000008,1.00000002
hystrix crassispinis,Least Concern,0,0,0,0
hystrix cristata,Least Concern,0.30103,0.30103,1.00000002,1.00000002
hystrix indica,Least Concern,0.30103,0.30103,1.00000002,1.00000002
hystrix javanica,Least Concern,0,0,0,0
hystrix sumatrae,Least Concern,0,0,0,0
ichneumia albicauda,Least Concern,0.60206,0.4771213,3.00000008,2.000000313
ichthyomys hydrobates,Least Concern,0,0,0,0
ictidomys mexicanus,Least Concern,0,0,0,0
ictidomys tridecemlineatus,Least Concern,0.69897,0.69897,3.99999995,3.99999995
ictonyx libycus,Least Concern,0,0,0,0
ictonyx striatus,Least Concern,0,0,0,0
idionycteris phyllotis,Least Concern,0,0,0,0
idiurus macrotis,Least Concern,0,0,0,0
idiurus zenkeri,Least Concern,0,0,0,0
indopacetus pacificus,Least Concern,0.30103,0,1.00000002,0
iomys horsfieldii,Least Concern,0,0,0,0
irenomys tarsalis,Least Concern,0,0,0,0
isoodon macrourus,Least Concern,0.4771213,0.30103,2.000000313,1.00000002
isoodon obesulus,Least Concern,0.30103,0.30103,1.00000002,1.00000002
isothrix bistriata,Least Concern,0,0,0,0
isothrix negrensis,Least Concern,0,0,0,0
isothrix pagurus,Least Concern,0,0,0,0
isothrix sinnamariensis,Least Concern,0,0,0,0
isthmomys pirrensis,Least Concern,0,0,0,0
jaculus blanfordi,Least Concern,0,0,0,0
jaculus jaculus,Least Concern,0.4771213,0.4771213,2.000000313,2.000000313
jaculus orientalis,Least Concern,0,0,0,0
juliomys pictipes,Least Concern,0,0,0,0
kannabateomys amblyonyx,Least Concern,0,0,0,0
kerivoula argentata,Least Concern,0,0,0,0
kerivoula hardwickii,Least Concern,0,0,0,0
kerivoula kachinensis,Least Concern,0,0,0,0
kerivoula lanosa,Least Concern,0,0,0,0
kerivoula lenis,Least Concern,0,0,0,0
kerivoula muscina,Least Concern,0,0,0,0
kerivoula papillosa,Least Concern,0,0,0,0
kerivoula phalaena,Least Concern,0,0,0,0
kerivoula smithii,Least Concern,0,0,0,0
kerivoula titania,Least Concern,0,0,0,0
kerivoula whiteheadi,Least Concern,0,0,0,0
kerodon rupestris,Least Concern,0,0,0,0
kobus ellipsiprymnus,Least Concern,1.20412,0.7781513,15.00000064,5.000000685
kobus kob,Least Concern,0.69897,0.30103,3.99999995,1.00000002
kogia breviceps,Least Concern,0.30103,0,1.00000002,0
kogia sima,Least Concern,0,0,0,0
kunsia tomentosus,Least Concern,0,0,0,0
laephotis botswanae,Least Concern,0,0,0,0
laephotis namibensis,Least Concern,0,0,0,0
laephotis wintoni,Least Concern,0,0,0,0
lagenodelphis hosei,Least Concern,0.30103,0,1.00000002,0
lagenorhynchus acutus,Least Concern,0.4771213,0,2.000000313,0
lagenorhynchus albirostris,Least Concern,0.30103,0,1.00000002,0
lagenorhynchus australis,Least Concern,0,0,0,0
lagenorhynchus cruciger,Least Concern,0,0,0,0
lagenorhynchus obliquidens,Least Concern,0.30103,0,1.00000002,0
lagenorhynchus obscurus,Least Concern,0.30103,0,1.00000002,0
lagidium viscacia,Least Concern,0,0,0,0
lagorchestes conspicillatus,Least Concern,0.30103,0,1.00000002,0
lagostomus maximus,Least Concern,0,0,0,0
lagurus lagurus,Least Concern,0.30103,0.30103,1.00000002,1.00000002
lama guanicoe,Least Concern,0.4771213,0.4771213,2.000000313,2.000000313
lampronycteris brachyotis,Least Concern,0,0,0,0
laonastes aenigmamus,Least Concern,0,0,0,0
lariscus hosei,Least Concern,0,0,0,0
lariscus insignis,Least Concern,0,0,0,0
lasionycteris noctivagans,Least Concern,0.30103,0.30103,1.00000002,1.00000002
lasiopodomys brandtii,Least Concern,0,0,0,0
lasiopodomys fuscus,Least Concern,0,0,0,0
lasiopodomys mandarinus,Least Concern,0,0,0,0
lasiurus atratus,Least Concern,0,0,0,0
lasiurus blossevillii,Least Concern,0.30103,0.30103,1.00000002,1.00000002
lasiurus borealis,Least Concern,0.30103,0.30103,1.00000002,1.00000002
lasiurus cinereus,Least Concern,0.4771213,0.4771213,2.000000313,2.000000313
lasiurus ega,Least Concern,0,0,0,0
lasiurus intermedius,Least Concern,0.30103,0.30103,1.00000002,1.00000002
lasiurus seminolus,Least Concern,0.30103,0.30103,1.00000002,1.00000002
lasiurus varius,Least Concern,0,0,0,0
lasiurus xanthinus,Least Concern,0.30103,0.30103,1.00000002,1.00000002
lavia frons,Least Concern,0,0,0,0
leggadina forresti,Least Concern,0,0,0,0
leggadina lakedownensis,Least Concern,0,0,0,0
lemmiscus curtatus,Least Concern,0,0,0,0
lemmus amurensis,Least Concern,0,0,0,0
lemmus lemmus,Least Concern,0.4771213,0.4771213,2.000000313,2.000000313
lemmus sibiricus,Least Concern,0.30103,0.30103,1.00000002,1.00000002
lemmus trimucronatus,Least Concern,0,0,0,0
lemniscomys barbarus,Least Concern,0,0,0,0
lemniscomys bellieri,Least Concern,0,0,0,0
lemniscomys griselda,Least Concern,0,0,0,0
lemniscomys linulus,Least Concern,0,0,0,0
lemniscomys macculus,Least Concern,0,0,0,0
lemniscomys mittendorfi,Least Concern,0,0,0,0
lemniscomys rosalia,Least Concern,0.30103,0,1.00000002,0
lemniscomys striatus,Least Concern,0.95542425,0.7781513,8.024522873,5.000000685
lemniscomys zebra,Least Concern,0,0,0,0
lenomys meyeri,Least Concern,0,0,0,0
lenothrix canus,Least Concern,0,0,0,0
lenoxus apicalis,Least Concern,0,0,0,0
leontocebus cruzlimai,Least Concern,0,0,0,0
leontocebus fuscicollis,Least Concern,0.60206,0.60206,3.00000008,3.00000008
leontocebus fuscus,Least Concern,0,0,0,0
leontocebus lagonotus,Least Concern,0,0,0,0
leontocebus leucogenys,Least Concern,0,0,0,0
leontocebus nigricollis,Least Concern,0.4771213,0.4771213,2.000000313,2.000000313
leontocebus nigrifrons,Least Concern,0,0,0,0
leontocebus weddelli,Least Concern,0,0,0,0
leopardus geoffroyi,Least Concern,0.90309,0.30103,7.00000024,1.00000002
leopardus pardalis,Least Concern,1.041393,0.60206,10.00000797,3.00000008
leopoldamys ciliatus,Least Concern,0,0,0,0
leopoldamys edwardsi,Least Concern,0,0,0,0
leopoldamys milleti,Least Concern,0,0,0,0
leopoldamys neilli,Least Concern,0.30103,0,1.00000002,0
leopoldamys sabanus,Least Concern,0,0,0,0
leptailurus serval,Least Concern,0.60206,0.4771213,3.00000008,2.000000313
leptomys elegans,Least Concern,0,0,0,0
leptomys ernstmayri,Least Concern,0,0,0,0
leptomys signatus,Least Concern,0,0,0,0
leptonychotes weddellii,Least Concern,0.7781513,0,5.000000685,0
lepus alleni,Least Concern,0,0,0,0
lepus americanus,Least Concern,0.95542425,0.84509804,8.024522873,6
lepus arcticus,Least Concern,0,0,0,0
lepus brachyurus,Least Concern,0,0,0,0
lepus californicus,Least Concern,1.1139434,1.079181,12.00000143,10.9999932
lepus capensis,Least Concern,0.7781513,0.30103,5.000000685,1.00000002
lepus comus,Least Concern,0,0,0,0
lepus coreanus,Least Concern,0,0,0,0
lepus europaeus,Least Concern,1.079181,0.84509804,10.9999932,6
lepus fagani,Least Concern,0,0,0,0
lepus granatensis,Least Concern,0.4771213,0,2.000000313,0
lepus habessinicus,Least Concern,0,0,0,0
lepus mandshuricus,Least Concern,0,0,0,0
lepus nigricollis,Least Concern,0,0,0,0
lepus oiostolus,Least Concern,0,0,0,0
lepus othus,Least Concern,0,0,0,0
lepus peguensis,Least Concern,0,0,0,0
lepus saxatilis,Least Concern,0.30103,0.30103,1.00000002,1.00000002
lepus sinensis,Least Concern,0,0,0,0
lepus starcki,Least Concern,0,0,0,0
lepus tibetanus,Least Concern,0,0,0,0
lepus timidus,Least Concern,0.7781513,0.4771213,5.000000685,2.000000313
lepus tolai,Least Concern,0,0,0,0
lepus townsendii,Least Concern,0,0,0,0
lepus victoriae,Least Concern,0,0,0,0
lestodelphys halli,Least Concern,0,0,0,0
lestoros inca,Least Concern,0,0,0,0
lichonycteris degener,Least Concern,0,0,0,0
lichonycteris obscura,Least Concern,0,0,0,0
limnomys bryophilus,Least Concern,0,0,0,0
limnomys sibuanus,Least Concern,0,0,0,0
lionycteris spurrelli,Least Concern,0,0,0,0
lissodelphis borealis,Least Concern,0,0,0,0
lissodelphis peronii,Least Concern,0,0,0,0
lissonycteris angolensis,Least Concern,0.4771213,0.4771213,2.000000313,2.000000313
lobodon carcinophaga,Least Concern,0.60206,0.30103,3.00000008,1.00000002
lonchophylla concava,Least Concern,0,0,0,0
lonchophylla handleyi,Least Concern,0,0,0,0
lonchophylla peracchii,Least Concern,0,0,0,0
lonchophylla robusta,Least Concern,0.4771213,0.4771213,2.000000313,2.000000313
lonchophylla thomasi,Least Concern,0,0,0,0
lonchorhina aurita,Least Concern,0.30103,0.30103,1.00000002,1.00000002
lonchothrix emiliae,Least Concern,0,0,0,0
lontra canadensis,Least Concern,0.90309,0.60206,7.00000024,3.00000008
lophiomys imhausi,Least Concern,0,0,0,0
lophostoma brasiliense,Least Concern,0.30103,0.30103,1.00000002,1.00000002
lophostoma carrikeri,Least Concern,0,0,0,0
lophostoma evotis,Least Concern,0,0,0,0
lophostoma schulzi,Least Concern,0,0,0,0
lophostoma silvicolum,Least Concern,0.4771213,0.4771213,2.000000313,2.000000313
lophuromys chrysopus,Least Concern,0,0,0,0
lophuromys flavopunctatus,Least Concern,0.4771213,0.30103,2.000000313,1.00000002
lophuromys huttereri,Least Concern,0,0,0,0
lophuromys kilonzoi,Least Concern,0,0,0,0
lophuromys luteogaster,Least Concern,0,0,0,0
lophuromys nudicaudus,Least Concern,0,0,0,0
lophuromys roseveari,Least Concern,0,0,0,0
lophuromys sikapusi,Least Concern,0.7781513,0.60206,5.000000685,3.00000008
lophuromys simensis,Least Concern,0,0,0,0
lophuromys woosnami,Least Concern,0,0,0,0
lorentzimys nouhuysi,Least Concern,0,0,0,0
loxodontomys micropus,Least Concern,0.30103,0.30103,1.00000002,1.00000002
loxodontomys pikumche,Least Concern,0,0,0,0
lundomys molitor,Least Concern,0,0,0,0
lutreolina crassicaudata,Least Concern,0,0,0,0
lutreolina massoia,Least Concern,0,0,0,0
lycalopex culpaeus,Least Concern,0.30103,0,1.00000002,0
lycalopex griseus,Least Concern,0.60206,0.30103,3.00000008,1.00000002
lycalopex gymnocercus,Least Concern,0.69897,0.30103,3.99999995,1.00000002
lyncodon patagonicus,Least Concern,0,0,0,0
lynx canadensis,Least Concern,0.95542425,0.60206,8.024522873,3.00000008
lynx lynx,Least Concern,1.1139434,0.7781513,12.00000143,5.000000685
lynx rufus,Least Concern,1.146128,0.84509804,12.99999885,6
lyroderma lyra,Least Concern,0.60206,0.4771213,3.00000008,2.000000313
macaca cyclopis,Least Concern,0.95542425,0.90309,8.024522873,7.00000024
macaca fuscata,Least Concern,1.342423,1.1760913,21.00001617,14.00000141
macaca mulatta,Least Concern,1.897627,1.763428,77.99998339,57.00000086
macroglossus minimus,Least Concern,0.30103,0,1.00000002,0
macroglossus sobrinus,Least Concern,0.30103,0.30103,1.00000002,1.00000002
macronycteris gigas,Least Concern,0.60206,0.30103,3.00000008,1.00000002
macronycteris thomensis,Least Concern,0,0,0,0
macrophyllum macrophyllum,Least Concern,0,0,0,0
macropus agilis,Least Concern,0.7781513,0.60206,5.000000685,3.00000008
macropus antilopinus,Least Concern,0,0,0,0
macropus dorsalis,Least Concern,0.30103,0.30103,1.00000002,1.00000002
macropus eugenii,Least Concern,0.4771213,0.4771213,2.000000313,2.000000313
macropus fuliginosus,Least Concern,0.84509804,0.30103,6,1.00000002
macropus giganteus,Least Concern,1.079181,0.84509804,10.9999932,6
macropus irma,Least Concern,0,0,0,0
macropus parryi,Least Concern,0.4771213,0.4771213,2.000000313,2.000000313
macropus robustus,Least Concern,0.7781513,0.30103,5.000000685,1.00000002
macropus rufogriseus,Least Concern,0.4771213,0.4771213,2.000000313,2.000000313
macropus rufus,Least Concern,0.95542425,0.69897,8.024522873,3.99999995
macroscelides flavicaudatus,Least Concern,0,0,0,0
macroscelides micus,Least Concern,0,0,0,0
macroscelides proboscideus,Least Concern,0,0,0,0
macrotarsomys bastardi,Least Concern,0,0,0,0
macrotus californicus,Least Concern,0.30103,0.30103,1.00000002,1.00000002
macrotus waterhousii,Least Concern,0,0,0,0
macruromys major,Least Concern,0,0,0,0
madoqua guentheri,Least Concern,0,0,0,0
madoqua kirkii,Least Concern,0.30103,0.30103,1.00000002,1.00000002
madoqua saltiana,Least Concern,0.30103,0,1.00000002,0
madromys blanfordi,Least Concern,0,0,0,0
makalata didelphoides,Least Concern,0,0,0,0
makalata macrura,Least Concern,0,0,0,0
malacomys cansdalei,Least Concern,0,0,0,0
malacomys edwardsi,Least Concern,0,0,0,0
malacomys longipes,Least Concern,0,0,0,0
malacothrix typica,Least Concern,0,0,0,0
mallomys aroaensis,Least Concern,0,0,0,0
mallomys istapantap,Least Concern,0,0,0,0
mallomys rothschildi,Least Concern,0,0,0,0
mammelomys lanosus,Least Concern,0,0,0,0
mammelomys rattoides,Least Concern,0,0,0,0
marmosa alstoni,Least Concern,0,0,0,0
marmosa constantiae,Least Concern,0,0,0,0
marmosa demerarae,Least Concern,0.30103,0.30103,1.00000002,1.00000002
marmosa lepida,Least Concern,0,0,0,0
marmosa mexicana,Least Concern,0,0,0,0
marmosa murina,Least Concern,0.4771213,0.4771213,2.000000313,2.000000313
marmosa paraguayana,Least Concern,0,0,0,0
marmosa quichua,Least Concern,0,0,0,0
marmosa regina,Least Concern,0,0,0,0
marmosa robinsoni,Least Concern,0.30103,0.30103,1.00000002,1.00000002
marmosops bishopi,Least Concern,0,0,0,0
marmosops caucae,Least Concern,0,0,0,0
marmosops impavidus,Least Concern,0,0,0,0
marmosops incanus,Least Concern,0,0,0,0
marmosops invictus,Least Concern,0,0,0,0
marmosops neblina,Least Concern,0,0,0,0
marmosops noctivagus,Least Concern,0,0,0,0
marmosops ocellatus,Least Concern,0,0,0,0
marmosops parvidens,Least Concern,0.30103,0.30103,1.00000002,1.00000002
marmosops paulensis,Least Concern,0,0,0,0
marmosops pinheiroi,Least Concern,0,0,0,0
marmota baibacina,Least Concern,0,0,0,0
marmota bobak,Least Concern,0,0,0,0
marmota broweri,Least Concern,0,0,0,0
marmota caligata,Least Concern,0,0,0,0
marmota camtschatica,Least Concern,0,0,0,0
marmota caudata,Least Concern,0.30103,0.30103,1.00000002,1.00000002
marmota flaviventris,Least Concern,0.60206,0.60206,3.00000008,3.00000008
marmota himalayana,Least Concern,0.69897,0.4771213,3.99999995,2.000000313
marmota marmota,Least Concern,0,0,0,0
marmota monax,Least Concern,1.079181,0.30103,10.9999932,1.00000002
marmota olympus,Least Concern,0,0,0,0
martes americana,Least Concern,0.4771213,0.30103,2.000000313,1.00000002
martes flavigula,Least Concern,0,0,0,0
martes foina,Least Concern,0.90309,0.7781513,7.00000024,5.000000685
martes martes,Least Concern,0.69897,0.60206,3.99999995,3.00000008
martes melampus,Least Concern,0.30103,0.30103,1.00000002,1.00000002
martes pennanti,Least Concern,0.90309,0.60206,7.00000024,3.00000008
martes zibellina,Least Concern,0.4771213,0.4771213,2.000000313,2.000000313
massoutiera mzabi,Least Concern,0,0,0,0
mastomys awashensis,Least Concern,0.30103,0,1.00000002,0
mastomys coucha,Least Concern,0.60206,0.30103,3.00000008,1.00000002
mastomys erythroleucus,Least Concern,0.7781513,0.60206,5.000000685,3.00000008
mastomys huberti,Least Concern,0.60206,0.4771213,3.00000008,2.000000313
mastomys kollmannspergeri,Least Concern,0,0,0,0
mastomys natalensis,Least Concern,1.30103,0.30103,19.0000002,1.00000002
mastomys shortridgei,Least Concern,0,0,0,0
maxomys alticola,Least Concern,0,0,0,0
maxomys bartelsii,Least Concern,0,0,0,0
maxomys hellwaldii,Least Concern,0,0,0,0
maxomys inas,Least Concern,0,0,0,0
maxomys moi,Least Concern,0,0,0,0
maxomys musschenbroekii,Least Concern,0,0,0,0
maxomys panglima,Least Concern,0,0,0,0
maxomys surifer,Least Concern,0.4771213,0.30103,2.000000313,1.00000002
maxomys tajuddinii,Least Concern,0,0,0,0
mazama gouazoubira,Least Concern,0.60206,0,3.00000008,0
mazama nemorivaga,Least Concern,0,0,0,0
megaderma spasma,Least Concern,0,0,0,0
megaerops ecaudatus,Least Concern,0,0,0,0
megaerops niphanae,Least Concern,0,0,0,0
megaloglossus azagnyi,Least Concern,0,0,0,0
megaloglossus woermanni,Least Concern,0.30103,0,1.00000002,0
megaptera novaeangliae,Least Concern,0,0,0,0
megasorex gigas,Least Concern,0,0,0,0
melanomys caliginosus,Least Concern,0.30103,0.30103,1.00000002,1.00000002
melanomys robustulus,Least Concern,0,0,0,0
meles anakuma,Least Concern,0,0,0,0
meles leucurus,Least Concern,0.60206,0.60206,3.00000008,3.00000008
meles meles,Least Concern,1.079181,0.7781513,10.9999932,5.000000685
mellivora capensis,Least Concern,0.4771213,0.30103,2.000000313,1.00000002
melogale moschata,Least Concern,0.7781513,0.60206,5.000000685,3.00000008
melogale orientalis,Least Concern,0,0,0,0
melogale personata,Least Concern,0,0,0,0
melomys burtoni,Least Concern,0,0,0,0
melomys capensis,Least Concern,0,0,0,0
melomys cervinipes,Least Concern,0,0,0,0
melomys dollmani,Least Concern,0,0,0,0
melomys frigicola,Least Concern,0,0,0,0
melomys leucogaster,Least Concern,0,0,0,0
melomys lutillus,Least Concern,0,0,0,0
melomys obiensis,Least Concern,0,0,0,0
melomys rufescens,Least Concern,0,0,0,0
melonycteris melanops,Least Concern,0,0,0,0
melonycteris woodfordi,Least Concern,0,0,0,0
menetes berdmorei,Least Concern,0.30103,0,1.00000002,0
mephitis macroura,Least Concern,0.30103,0.30103,1.00000002,1.00000002
mephitis mephitis,Least Concern,1.255273,1.146128,17.00002051,12.99999885
meriones arimalius,Least Concern,0,0,0,0
meriones chengi,Least Concern,0,0,0,0
meriones crassus,Least Concern,0.4771213,0.4771213,2.000000313,2.000000313
meriones grandis,Least Concern,0,0,0,0
meriones hurrianae,Least Concern,0,0,0,0
meriones libycus,Least Concern,0.60206,0.4771213,3.00000008,2.000000313
meriones meridianus,Least Concern,0.30103,0.30103,1.00000002,1.00000002
meriones persicus,Least Concern,0,0,0,0
meriones rex,Least Concern,0,0,0,0
meriones shawi,Least Concern,0,0,0,0
meriones tamariscinus,Least Concern,0.60206,0.60206,3.00000008,3.00000008
meriones tristrami,Least Concern,0,0,0,0
meriones unguiculatus,Least Concern,0.7781513,0.69897,5.000000685,3.99999995
meriones vinogradovi,Least Concern,0,0,0,0
mesechinus dauuricus,Least Concern,0,0,0,0
mesechinus hughi,Least Concern,0,0,0,0
mesocricetus raddei,Least Concern,0,0,0,0
mesomys hispidus,Least Concern,0.30103,0.30103,1.00000002,1.00000002
mesomys occultus,Least Concern,0,0,0,0
mesomys stimulax,Least Concern,0,0,0,0
mesophylla macconnelli,Least Concern,0,0,0,0
mesoplodon bidens,Least Concern,0,0,0,0
mesoplodon densirostris,Least Concern,0,0,0,0
mesoplodon europaeus,Least Concern,0,0,0,0
mesoplodon grayi,Least Concern,0,0,0,0
mesoplodon layardii,Least Concern,0,0,0,0
mesoplodon mirus,Least Concern,0,0,0,0
mesoplodon peruvianus,Least Concern,0,0,0,0
metachirus nudicaudatus,Least Concern,0.7781513,0.60206,5.000000685,3.00000008
micaelamys granti,Least Concern,0,0,0,0
micaelamys namaquensis,Least Concern,0.69897,0.4771213,3.99999995,2.000000313
mico acariensis,Least Concern,0,0,0,0
mico argentatus,Least Concern,0.4771213,0.4771213,2.000000313,2.000000313
mico chrysoleucos,Least Concern,0,0,0,0
mico emiliae,Least Concern,0,0,0,0
mico intermedius,Least Concern,0,0,0,0
mico leucippe,Least Concern,0.4771213,0.4771213,2.000000313,2.000000313
mico mauesi,Least Concern,0,0,0,0
mico saterei,Least Concern,0,0,0,0
microcavia australis,Least Concern,0,0,0,0
microcavia niata,Least Concern,0,0,0,0
microcavia shiptoni,Least Concern,0,0,0,0
microcebus griseorufus,Least Concern,0,0,0,0
microcebus murinus,Least Concern,0,0,0,0
microdipodops megacephalus,Least Concern,0,0,0,0
microdipodops pallidus,Least Concern,0,0,0,0
microgale brevicaudata,Least Concern,0,0,0,0
microgale cowani,Least Concern,0,0,0,0
microgale dobsoni,Least Concern,0,0,0,0
microgale drouhardi,Least Concern,0,0,0,0
microgale fotsifotsy,Least Concern,0,0,0,0
microgale gracilis,Least Concern,0,0,0,0
microgale grandidieri,Least Concern,0,0,0,0
microgale gymnorhyncha,Least Concern,0,0,0,0
microgale longicaudata,Least Concern,0,0,0,0
microgale majori,Least Concern,0,0,0,0
microgale parvula,Least Concern,0,0,0,0
microgale principula,Least Concern,0,0,0,0
microgale pusilla,Least Concern,0,0,0,0
microgale soricoides,Least Concern,0,0,0,0
microgale taiva,Least Concern,0,0,0,0
microgale talazaci,Least Concern,0,0,0,0
microgale thomasi,Least Concern,0,0,0,0
micromys minutus,Least Concern,0.7781513,0.69897,5.000000685,3.99999995
micronycteris hirsuta,Least Concern,0,0,0,0
micronycteris megalotis,Least Concern,0.30103,0.30103,1.00000002,1.00000002
micronycteris microtis,Least Concern,0,0,0,0
micronycteris minuta,Least Concern,0,0,0,0
micronycteris sanborni,Least Concern,0,0,0,0
micronycteris schmidtorum,Least Concern,0,0,0,0
microperoryctes longicauda,Least Concern,0,0,0,0
microperoryctes papuensis,Least Concern,0,0,0,0
micropotamogale ruwenzorii,Least Concern,0,0,0,0
micropteropus pusillus,Least Concern,0.60206,0.60206,3.00000008,3.00000008
microryzomys altissimus,Least Concern,0,0,0,0
microryzomys minutus,Least Concern,0,0,0,0
microsciurus alfari,Least Concern,0,0,0,0
microsciurus flaviventer,Least Concern,0,0,0,0
microsciurus mimulus,Least Concern,0,0,0,0
microtus abbreviatus,Least Concern,0,0,0,0
microtus agrestis,Least Concern,1.1760913,1.1139434,14.00000141,12.00000143
microtus arvalis,Least Concern,1.20412,1.079181,15.00000064,10.9999932
microtus brachycercus,Least Concern,0,0,0,0
microtus californicus,Least Concern,0.7781513,0.69897,5.000000685,3.99999995
microtus canicaudus,Least Concern,0,0,0,0
microtus chrotorrhinus,Least Concern,0,0,0,0
microtus clarkei,Least Concern,0.4771213,0,2.000000313,0
microtus daghestanicus,Least Concern,0,0,0,0
microtus dogramacii,Least Concern,0.30103,0.30103,1.00000002,1.00000002
microtus duodecimcostatus,Least Concern,0.30103,0,1.00000002,0
microtus felteni,Least Concern,0,0,0,0
microtus fortis,Least Concern,0.69897,0.4771213,3.99999995,2.000000313
microtus gerbei,Least Concern,0,0,0,0
microtus gregalis,Least Concern,0.69897,0.69897,3.99999995,3.99999995
microtus guentheri,Least Concern,0.60206,0.60206,3.00000008,3.00000008
microtus hyperboreus,Least Concern,0,0,0,0
microtus ilaeus,Least Concern,0.30103,0.30103,1.00000002,1.00000002
microtus kikuchii,Least Concern,0,0,0,0
microtus levis,Least Concern,0.69897,0.69897,3.99999995,3.99999995
microtus liechtensteini,Least Concern,0,0,0,0
microtus limnophilus,Least Concern,0,0,0,0
microtus longicaudus,Least Concern,0,0,0,0
microtus lusitanicus,Least Concern,0,0,0,0
microtus majori,Least Concern,0,0,0,0
microtus maximowiczii,Least Concern,0.4771213,0.30103,2.000000313,1.00000002
microtus mexicanus,Least Concern,0,0,0,0
microtus middendorffii,Least Concern,0,0,0,0
microtus miurus,Least Concern,0,0,0,0
microtus mongolicus,Least Concern,0,0,0,0
microtus montanus,Least Concern,0.60206,0.4771213,3.00000008,2.000000313
microtus montebelli,Least Concern,0.30103,0.30103,1.00000002,1.00000002
microtus multiplex,Least Concern,0,0,0,0
microtus ochrogaster,Least Concern,0.30103,0.30103,1.00000002,1.00000002
microtus oeconomus,Least Concern,0.84509804,0.69897,6,3.99999995
microtus oregoni,Least Concern,0,0,0,0
microtus paradoxus,Least Concern,0,0,0,0
microtus pennsylvanicus,Least Concern,0.84509804,0.84509804,6,6
microtus pinetorum,Least Concern,0,0,0,0
microtus qazvinensis,Least Concern,0,0,0,0
microtus richardsoni,Least Concern,0.4771213,0.4771213,2.000000313,2.000000313
microtus sachalinensis,Least Concern,0,0,0,0
microtus savii,Least Concern,0,0,0,0
microtus schelkovnikovi,Least Concern,0,0,0,0
microtus schidlovskii,Least Concern,0,0,0,0
microtus socialis,Least Concern,0.30103,0.30103,1.00000002,1.00000002
microtus subterraneus,Least Concern,0.4771213,0.4771213,2.000000313,2.000000313
microtus tatricus,Least Concern,0,0,0,0
microtus thomasi,Least Concern,0,0,0,0
microtus townsendii,Least Concern,0,0,0,0
microtus transcaspicus,Least Concern,0,0,0,0
microtus xanthognathus,Least Concern,0,0,0,0
millardia gleadowi,Least Concern,0,0,0,0
millardia kathleenae,Least Concern,0,0,0,0
