Host,redlistCategory,NVirion,NZoon,Nvirion,Nzoon
cabassous centralis,Data Deficient,0.30103,0.30103,1,1
calcochloris tytonis,Data Deficient,0,0,0,0
callosciurus albescens,Data Deficient,0,0,0,0
calomyscus grandis,Data Deficient,0,0,0,0
calomyscus tsolovi,Data Deficient,0,0,0,0
calyptophractus retusus,Data Deficient,0,0,0,0
cardiocranius paradoxus,Data Deficient,0,0,0,0
carollia monohernandezi,Data Deficient,0,0,0,0
carpomys melanurus,Data Deficient,0,0,0,0
carterodon sulcidens,Data Deficient,0,0,0,0
casinycteris campomaanensis,Data Deficient,0,0,0,0
cavia patzelti,Data Deficient,0,0,0,0
chaerephon gallagheri,Data Deficient,0,0,0,0
chaerephon russatus,Data Deficient,0,0,0,0
chaetocauda sichuanensis,Data Deficient,0,0,0,0
chaetodipus lineatus,Data Deficient,0,0,0,0
cheirogaleus grovesi,Data Deficient,0,0,0,0
chibchanomys orcesi,Data Deficient,0,0,0,0
chibchanomys trichotis,Data Deficient,0,0,0,0
chilonatalus macer,Data Deficient,0,0,0,0
chimarrogale sumatrana,Data Deficient,0,0,0,0
chiroderma vizottoi,Data Deficient,0,0,0,0
chiropodomys calamianensis,Data Deficient,0,0,0,0
chiropodomys muroides,Data Deficient,0,0,0,0
chiropodomys pusillus,Data Deficient,0,0,0,0
chlamyphorus truncatus,Data Deficient,0,0,0,0
chodsigoa caovansunga,Data Deficient,0.30103,0.30103,1,1
chodsigoa parva,Data Deficient,0,0,0,0
chodsigoa salenskii,Data Deficient,0,0,0,0
chodsigoa sodalis,Data Deficient,0,0,0,0
chrotomys sibuyanensis,Data Deficient,0,0,0,0
chrysochloris visagiei,Data Deficient,0,0,0,0
coccymys kirrhos,Data Deficient,0,0,0,0
coendou baturitensis,Data Deficient,0,0,0,0
coendou ichillus,Data Deficient,0,0,0,0
coendou nycthemera,Data Deficient,0,0,0,0
coendou quichua,Data Deficient,0,0,0,0
coendou roosmalenorum,Data Deficient,0,0,0,0
coendou vestitus,Data Deficient,0,0,0,0
coleura kibomalandy,Data Deficient,0,0,0,0
congosorex polli,Data Deficient,0,0,0,0
crateromys australis,Data Deficient,0,0,0,0
crateromys paulus,Data Deficient,0,0,0,0
crocidura absconditus,Data Deficient,0,0,0,0
crocidura afeworkbekelei,Data Deficient,0,0,0,0
crocidura annamitensis,Data Deficient,0,0,0,0
crocidura armenica,Data Deficient,0,0,0,0
crocidura batakorum,Data Deficient,0,0,0,0
crocidura bottegi,Data Deficient,0,0,0,0
crocidura caspica,Data Deficient,0,0,0,0
crocidura cranbrooki,Data Deficient,0,0,0,0
crocidura dhofarensis,Data Deficient,0,0,0,0
crocidura erica,Data Deficient,0,0,0,0
crocidura fingui,Data Deficient,0,0,0,0
crocidura fischeri,Data Deficient,0,0,0,0
crocidura floweri,Data Deficient,0,0,0,0
crocidura gathornei,Data Deficient,0,0,0,0
crocidura gracilipes,Data Deficient,0,0,0,0
crocidura grandis,Data Deficient,0,0,0,0
crocidura guy,Data Deficient,0,0,0,0
crocidura hilliana,Data Deficient,0,0,0,0
crocidura horsfieldii,Data Deficient,0,0,0,0
crocidura katinka,Data Deficient,0,0,0,0
crocidura longipes,Data Deficient,0,0,0,0
crocidura lwiroensis,Data Deficient,0,0,0,0
crocidura macowi,Data Deficient,0,0,0,0
crocidura mindorus,Data Deficient,0,0,0,0
crocidura monax,Data Deficient,0,0,0,0
crocidura musseri,Data Deficient,0,0,0,0
crocidura mutesae,Data Deficient,0,0,0,0
crocidura nana,Data Deficient,0,0,0,0
crocidura ninoyi,Data Deficient,0,0,0,0
crocidura panayensis,Data Deficient,0,0,0,0
crocidura pergrisea,Data Deficient,0,0,0,0
crocidura phuquocensis,Data Deficient,0,0,0,0
crocidura pitmani,Data Deficient,0,0,0,0
crocidura planiceps,Data Deficient,0,0,0,0
crocidura polia,Data Deficient,0,0,0,0
crocidura pullata,Data Deficient,0,0,0,0
crocidura raineyi,Data Deficient,0,0,0,0
crocidura rapax,Data Deficient,0,0,0,0
crocidura religiosa,Data Deficient,0,0,0,0
crocidura sapaensis,Data Deficient,0,0,0,0
crocidura selina,Data Deficient,0,0,0,0
crocidura sokolovi,Data Deficient,0,0,0,0
crocidura susiana,Data Deficient,0,0,0,0
crocidura tarfayensis,Data Deficient,0,0,0,0
crocidura tenuis,Data Deficient,0,0,0,0
crocidura ultima,Data Deficient,0,0,0,0
crocidura vosmaeri,Data Deficient,0,0,0,0
crocidura wuchihensis,Data Deficient,0,0,0,0
crocidura yaldeni,Data Deficient,0,0,0,0
crocidura zaitsevi,Data Deficient,0,0,0,0
crocidura zaphiri,Data Deficient,0,0,0,0
crocidura zimmeri,Data Deficient,0,0,0,0
crunomys celebensis,Data Deficient,0,0,0,0
crunomys fallax,Data Deficient,0,0,0,0
